Date,Today_Open,Min_Date,Min_Close,Max_Date,Max_Close
26-Nov-2008,1066.65,24-Oct-2008,1019.5,14-Jan-2008,3220.85
28-Nov-2008,1120.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
01-Dec-2008,1125.3,24-Oct-2008,1019.5,14-Jan-2008,3220.85
02-Dec-2008,1070.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
03-Dec-2008,1100.55,24-Oct-2008,1019.5,14-Jan-2008,3220.85
04-Dec-2008,1084.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
05-Dec-2008,1175.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
08-Dec-2008,1152.2,24-Oct-2008,1019.5,14-Jan-2008,3220.85
10-Dec-2008,1148.7,24-Oct-2008,1019.5,14-Jan-2008,3220.85
11-Dec-2008,1250.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
12-Dec-2008,1240.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
15-Dec-2008,1349.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
16-Dec-2008,1350.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
17-Dec-2008,1390.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
18-Dec-2008,1340.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
19-Dec-2008,1360.25,24-Oct-2008,1019.5,14-Jan-2008,3220.85
22-Dec-2008,1305.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
23-Dec-2008,1281.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
24-Dec-2008,1251.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
26-Dec-2008,1250.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
29-Dec-2008,1200.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
30-Dec-2008,1260.05,24-Oct-2008,1019.5,14-Jan-2008,3220.85
31-Dec-2008,1254.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
01-Jan-2009,1240.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
02-Jan-2009,1259.7,24-Oct-2008,1019.5,14-Jan-2008,3220.85
05-Jan-2009,1299.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
06-Jan-2009,1360.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
07-Jan-2009,1369.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
09-Jan-2009,1210.0,24-Oct-2008,1019.5,14-Jan-2008,3220.85
12-Jan-2009,1139.7,24-Oct-2008,1019.5,14-Jan-2008,3220.85
13-Jan-2009,1094.7,24-Oct-2008,1019.5,14-Jan-2008,3220.85
14-Jan-2009,1091.1,24-Oct-2008,1019.5,15-Jan-2008,3165.55
15-Jan-2009,1141.8,24-Oct-2008,1019.5,16-Jan-2008,3093.65
16-Jan-2009,1151.0,24-Oct-2008,1019.5,17-Jan-2008,2996.55
19-Jan-2009,1224.6,24-Oct-2008,1019.5,07-May-2008,2688.95
20-Jan-2009,1216.8,24-Oct-2008,1019.5,07-May-2008,2688.95
21-Jan-2009,1160.0,24-Oct-2008,1019.5,07-May-2008,2688.95
22-Jan-2009,1149.9,24-Oct-2008,1019.5,07-May-2008,2688.95
23-Jan-2009,1198.0,24-Oct-2008,1019.5,07-May-2008,2688.95
27-Jan-2009,1186.0,24-Oct-2008,1019.5,07-May-2008,2688.95
28-Jan-2009,1248.0,24-Oct-2008,1019.5,07-May-2008,2688.95
29-Jan-2009,1285.0,24-Oct-2008,1019.5,07-May-2008,2688.95
30-Jan-2009,1238.0,24-Oct-2008,1019.5,07-May-2008,2688.95
02-Feb-2009,1290.0,24-Oct-2008,1019.5,07-May-2008,2688.95
03-Feb-2009,1290.0,24-Oct-2008,1019.5,07-May-2008,2688.95
04-Feb-2009,1315.0,24-Oct-2008,1019.5,07-May-2008,2688.95
05-Feb-2009,1329.0,24-Oct-2008,1019.5,07-May-2008,2688.95
06-Feb-2009,1300.0,24-Oct-2008,1019.5,07-May-2008,2688.95
09-Feb-2009,1355.0,24-Oct-2008,1019.5,07-May-2008,2688.95
10-Feb-2009,1388.9,24-Oct-2008,1019.5,07-May-2008,2688.95
11-Feb-2009,1365.0,24-Oct-2008,1019.5,07-May-2008,2688.95
12-Feb-2009,1378.7,24-Oct-2008,1019.5,07-May-2008,2688.95
13-Feb-2009,1367.0,24-Oct-2008,1019.5,07-May-2008,2688.95
16-Feb-2009,1384.45,24-Oct-2008,1019.5,07-May-2008,2688.95
17-Feb-2009,1301.15,24-Oct-2008,1019.5,07-May-2008,2688.95
18-Feb-2009,1267.0,24-Oct-2008,1019.5,07-May-2008,2688.95
19-Feb-2009,1290.0,24-Oct-2008,1019.5,07-May-2008,2688.95
20-Feb-2009,1256.05,24-Oct-2008,1019.5,07-May-2008,2688.95
24-Feb-2009,1235.0,24-Oct-2008,1019.5,07-May-2008,2688.95
25-Feb-2009,1265.0,24-Oct-2008,1019.5,07-May-2008,2688.95
26-Feb-2009,1258.0,24-Oct-2008,1019.5,07-May-2008,2688.95
27-Feb-2009,1289.4,24-Oct-2008,1019.5,07-May-2008,2688.95
02-Mar-2009,1228.7,24-Oct-2008,1019.5,07-May-2008,2688.95
03-Mar-2009,1230.0,24-Oct-2008,1019.5,07-May-2008,2688.95
04-Mar-2009,1155.35,24-Oct-2008,1019.5,07-May-2008,2688.95
05-Mar-2009,1208.0,24-Oct-2008,1019.5,07-May-2008,2688.95
06-Mar-2009,1130.0,24-Oct-2008,1019.5,07-May-2008,2688.95
09-Mar-2009,1161.0,24-Oct-2008,1019.5,07-May-2008,2688.95
12-Mar-2009,1181.0,24-Oct-2008,1019.5,07-May-2008,2688.95
13-Mar-2009,1229.9,24-Oct-2008,1019.5,07-May-2008,2688.95
16-Mar-2009,1284.25,24-Oct-2008,1019.5,07-May-2008,2688.95
17-Mar-2009,1330.0,24-Oct-2008,1019.5,07-May-2008,2688.95
18-Mar-2009,1315.1,24-Oct-2008,1019.5,07-May-2008,2688.95
19-Mar-2009,1338.0,24-Oct-2008,1019.5,07-May-2008,2688.95
20-Mar-2009,1339.0,24-Oct-2008,1019.5,07-May-2008,2688.95
23-Mar-2009,1354.0,24-Oct-2008,1019.5,07-May-2008,2688.95
24-Mar-2009,1450.05,24-Oct-2008,1019.5,07-May-2008,2688.95
25-Mar-2009,1450.0,24-Oct-2008,1019.5,07-May-2008,2688.95
26-Mar-2009,1549.7,24-Oct-2008,1019.5,07-May-2008,2688.95
27-Mar-2009,1554.0,24-Oct-2008,1019.5,07-May-2008,2688.95
30-Mar-2009,1521.1,24-Oct-2008,1019.5,07-May-2008,2688.95
31-Mar-2009,1535.0,24-Oct-2008,1019.5,07-May-2008,2688.95
